test_name,library,max,mean,median,min,stddev,warmup,iterations,checkKeys,ignoreUndefined,index
code-without-scope_singleFieldDocument._serialize,bson@6.2.0,27.20805228251924,23.976943214351255,25.663118971703813,0.2998118488887016,4.089119542414776,1000,1000,1,0,-
code-without-scope_singleElementArray._serialize,bson@6.2.0,29.27223399458141,22.6841915096221,22.161480424755077,0.3168094159112123,4.841549828206807,1000,1000,1,0,-
code-without-scope_array_100._serialize,bson@6.2.0,223.34249753703406,213.50530950335434,220.97029558001955,22.845146372719842,14.535457698175383,1000,1000,1,0,-
code-without-scope_array_10._serialize,bson@6.2.0,186.75670262997153,140.4494682777021,155.34100721571258,5.171845882596063,30.924021249533,1000,1000,1,0,-
code-without-scope_array_1000._serialize,bson@6.2.0,264.49966191236285,260.36707440995764,259.9130450493785,170.7467506701975,6.203017258074177,1000,1000,1,0,-
code-with-scope_singleFieldDocument._serialize,bson@6.2.0,28.882698719666823,23.806630170911045,24.03571367785327,1.3309848925490748,4.395805432281142,1000,1000,1,0,-
code-with-scope_singleElementArray._serialize,bson@6.2.0,27.266978402901284,22.937266231302395,22.87732372049414,1.4286297913752206,3.7314447076044694,1000,1000,1,0,-
code-with-scope_array_1000._serialize,bson@6.2.0,123.22672207784294,120.7934310326284,121.80518086536131,101.83517309412072,3.828196438916063,1000,1000,1,0,-
code-with-scope_array_100._serialize,bson@6.2.0,121.39871474876647,118.22829010455222,119.99853135835725,43.164342954895595,6.6905037614013585,1000,1000,1,0,-
code-with-scope_array_10._serialize,bson@6.2.0,106.59266819439203,97.00673057701528,102.17105420570675,5.145592208550052,11.005431217727295,1000,1000,1,0,-
code-without-scope_singleFieldDocument._deserialize,bson@6.2.0,38.472609634636775,35.19456653311584,37.22220841749727,1.5761184198903238,5.442001910820264,1000,1000,-,-,0
code-without-scope_singleElementArray._deserialize,bson@6.2.0,30.26435554539276,26.06538937323741,29.03888533102553,1.5808515796308393,4.759883158591167,1000,1000,-,-,0
code-without-scope_array_100._deserialize,bson@6.2.0,151.26803031682476,147.3950574493591,150.27937183866646,41.42203911578963,11.631187852271108,1000,1000,-,-,0
code-without-scope_array_10._deserialize,bson@6.2.0,127.121924607409,119.15801070093926,125.57836083096782,5.123345911136047,13.178000368413988,1000,1000,-,-,0
code-without-scope_array_1000._deserialize,bson@6.2.0,152.76630161111532,148.60422389619265,150.72916155384573,85.69647975433905,7.601281210229219,1000,1000,-,-,0
code-with-scope_singleFieldDocument._deserialize,bson@6.2.0,32.320635293439075,26.88903024170662,26.887790394197395,1.9293644455202177,5.336789758323642,1000,1000,-,-,0
code-with-scope_singleElementArray._deserialize,bson@6.2.0,44.23671360016875,24.341146015248505,24.71053293088557,0.8271454661089469,7.451196979613139,1000,1000,-,-,0
code-with-scope_array_1000._deserialize,bson@6.2.0,83.45013991699311,81.59163911658082,82.369939261701,59.036913003062864,3.2689185317916505,1000,1000,-,-,0
code-with-scope_array_100._deserialize,bson@6.2.0,83.38021378241925,80.56417955043138,82.58446814403962,39.80292766963095,6.537974833664072,1000,1000,-,-,0
code-with-scope_array_10._deserialize,bson@6.2.0,77.56981638419678,75.23212688650572,76.32625217266543,7.398413290423542,5.507402720559126,1000,1000,-,-,0
code-without-scope_singleFieldDocument._serialize,bson@5.5.1,29.143158274080747,23.868321650392197,25.61414341345293,0.3086618747113778,4.150409219759174,1000,1000,1,0,-
code-without-scope_singleElementArray._serialize,bson@5.5.1,29.06847092987786,22.490522320177224,22.109805309672367,0.30765029596477417,4.742377061910638,1000,1000,1,0,-
code-without-scope_array_100._serialize,bson@5.5.1,259.38045884798737,245.450378391074,254.7335607434491,22.90736570954757,17.556592283179043,1000,1000,1,0,-
code-without-scope_array_10._serialize,bson@5.5.1,186.35630272961313,141.4497816430298,156.4787869209185,2.7325325267333533,30.824602146801162,1000,1000,1,0,-
code-without-scope_array_1000._serialize,bson@5.5.1,266.2535046344574,262.0073169185005,261.58809616749255,173.07016043421132,6.302780493869706,1000,1000,1,0,-
code-with-scope_singleFieldDocument._serialize,bson@5.5.1,28.778124888941388,23.74170677954249,23.52448129147065,1.5909306188247205,4.290283572994263,1000,1000,1,0,-
code-with-scope_singleElementArray._serialize,bson@5.5.1,28.294282382645736,23.476052046243293,22.850438169282263,1.7979329372713364,3.8808057172126635,1000,1000,1,0,-
code-with-scope_array_1000._serialize,bson@5.5.1,123.22755591814003,120.88561738385395,121.79042754529905,100.92126734237667,3.7651535124789492,1000,1000,1,0,-
code-with-scope_array_100._serialize,bson@5.5.1,120.19049530344788,116.87629880374698,118.82566778279222,40.338883974604634,6.967284984796263,1000,1000,1,0,-
code-with-scope_array_10._serialize,bson@5.5.1,106.45371306231483,97.29440217125486,102.33104768592356,4.515977521315042,10.888928798992593,1000,1000,1,0,-
code-without-scope_singleFieldDocument._deserialize,bson@5.5.1,40.167716843252514,36.5867606970356,38.79560202593682,0.27952947173937226,5.866053729993389,1000,1000,-,-,0
code-without-scope_singleElementArray._deserialize,bson@5.5.1,30.26416331508276,25.985603180176906,28.973550443597183,1.6031432625297053,4.8266196530170475,1000,1000,-,-,0
code-without-scope_array_100._deserialize,bson@5.5.1,152.4545411743494,148.45910444758456,151.31469419189997,44.08065781843983,11.56137740990286,1000,1000,-,-,0
code-without-scope_array_10._deserialize,bson@5.5.1,127.19663020210572,118.62831101764806,125.24040359782298,5.198567003920439,12.896531065056417,1000,1000,-,-,0
code-without-scope_array_1000._deserialize,bson@5.5.1,153.04027277080652,148.89924441827594,150.98855481923437,87.26412762423118,7.533290123997427,1000,1000,-,-,0
code-with-scope_singleFieldDocument._deserialize,bson@5.5.1,31.33788640583406,25.87361653318037,25.72005717432818,1.714895817661781,5.0431918689311255,1000,1000,-,-,0
code-with-scope_singleElementArray._deserialize,bson@5.5.1,45.23135986196485,24.289035485652125,25.05365520654669,0.9848667299313313,7.160700983113403,1000,1000,-,-,0
code-with-scope_array_1000._deserialize,bson@5.5.1,83.44295966606259,81.59320010117605,82.41050579831116,50.300431460720446,3.4084120748463116,1000,1000,-,-,0
code-with-scope_array_100._deserialize,bson@5.5.1,83.6583325948359,80.87524112367372,82.72863144794042,40.13411531691245,6.337254389618814,1000,1000,-,-,0
code-with-scope_array_10._deserialize,bson@5.5.1,77.93256642867301,75.79552246206562,76.92302691673001,8.135347363097996,5.552316020486127,1000,1000,-,-,0
code-without-scope_singleFieldDocument._serialize,bson@4.7.2,32.0267101259331,28.87639587812966,30.115732652711458,1.8281281118533104,3.91934109780997,1000,1000,1,0,-
code-without-scope_singleElementArray._serialize,bson@4.7.2,28.041180468340798,24.54102812439179,25.083925865460465,1.6962924182636099,3.5498961206289943,1000,1000,1,0,-
code-without-scope_array_100._serialize,bson@4.7.2,266.53146654644576,243.5149877201604,240.65588617084381,27.068154451941385,19.6215711245374,1000,1000,1,0,-
code-without-scope_array_10._serialize,bson@4.7.2,112.09558297289745,100.70126256998894,105.89186518452863,18.21307895395682,11.851097945147988,1000,1000,1,0,-
code-without-scope_array_1000._serialize,bson@4.7.2,280.2270009488752,275.48764583696976,275.6563610937539,179.3540707520671,7.39508482066728,1000,1000,1,0,-
code-with-scope_singleFieldDocument._serialize,bson@4.7.2,34.40465972874571,28.75082988288787,30.616949121659864,1.5192176226951493,5.250324347372579,1000,1000,1,0,-
code-with-scope_singleElementArray._serialize,bson@4.7.2,27.830692304411087,24.01973902359138,24.587250987140898,0.772899868968245,3.5274546559667006,1000,1000,1,0,-
code-with-scope_array_1000._serialize,bson@4.7.2,150.08621106043051,144.18408758502437,147.40777538484252,117.11581880148492,7.395551744092506,1000,1000,1,0,-
