test_name,library,max,mean,median,min,stddev,warmup,iterations,useBigInt64,promoteValues,promoteLongs,checkKeys,ignoreUndefined
long_singleFieldDocument._deserialize,bson@6.2.0,4.958660919681781,4.615220104022427,4.786595309138027,0.16061252221293706,0.5910574149907544,1000,1000,0,0,0,-,-
long_singleFieldDocument._deserialize,bson@6.2.0,5.2979985000197365,4.994621993113514,5.150269042350443,0.028454426566394433,0.6152422940862746,1000,1000,0,1,1,-,-
long_singleFieldDocument._deserialize,bson@6.2.0,5.089081078348352,4.721265740749092,4.872081602032791,0.029213000375235176,0.6146676120451041,1000,1000,1,-,-,-,-
long_singleFieldDocument._serialize,bson@6.2.0,3.86349245826137,3.5673667377247535,3.687773011191911,0.02610097122848486,0.46136228958721126,1000,1000,-,-,-,1,0
long_singleFieldDocument._deserialize,bson@5.5.1,4.9525618557969056,4.578028493686089,4.773260752050832,0.029078642499964974,0.6670236382075888,1000,1000,0,0,0,-,-
long_singleFieldDocument._deserialize,bson@5.5.1,5.484467957012681,5.098082815603403,5.295629433813375,0.028896235955044085,0.7089267478118693,1000,1000,0,1,1,-,-
long_singleFieldDocument._deserialize,bson@5.5.1,5.267778484241925,4.93458191645635,5.10858021543029,0.17241375376864412,0.6368058701788384,1000,1000,1,-,-,-,-
long_singleFieldDocument._serialize,bson@5.5.1,3.745297454166628,3.479386861296867,3.60687225332557,0.027878773678768443,0.4617972768174312,1000,1000,-,-,-,1,0
long_singleFieldDocument._deserialize,bson@4.7.2,5.52487903402854,5.044517257598634,5.342849727319773,0.16284435414009235,0.8488917769273837,1000,1000,0,0,0,-,-
long_singleFieldDocument._deserialize,bson@4.7.2,5.970096878938394,5.391099270847548,5.6683773351164914,0.16478313131718242,0.8803848244124907,1000,1000,0,1,1,-,-
long_singleFieldDocument._deserialize,bson@4.7.2,5.274679172616163,4.832615645310321,5.076121478007639,0.16925248454293365,0.7611922473881971,1000,1000,1,-,-,-,-
long_singleFieldDocument._serialize,bson@4.7.2,4.834816454936241,4.395428041560938,4.638594366683947,0.14991380313027522,0.7075370312648069,1000,1000,-,-,-,1,0
long_singleFieldDocument._deserialize,bson-ext@4.0.2,3.493464145966909,3.263481555308538,3.404741078854193,0.7415644538084416,0.43480370088210457,1000,1000,-,1,1,-,-
long_singleFieldDocument._deserialize,bson-ext@4.0.2,2.889489016942828,2.691443496159621,2.8057109091922627,0.5881780778495334,0.34338184388806753,1000,1000,-,0,0,-,-
long_singleFieldDocument._serialize,bson-ext@4.0.2,2.207504215962544,1.9903150395014497,2.129544366273529,0.02851372365679223,0.3061529349666702,1000,1000,-,-,-,1,0
long_singleElementArray._deserialize,bson@6.2.0,5.296632544336667,4.61687357056055,5.053035863533345,1.0515795741586909,0.8472695021899836,1000,1000,0,0,0,-,-
long_singleElementArray._deserialize,bson@6.2.0,5.5370806689824175,4.887975862406796,5.34046872140123,0.9843502239797699,0.8982352840930684,1000,1000,0,1,1,-,-
long_singleElementArray._deserialize,bson@6.2.0,5.571049643035032,4.877398428774053,5.327622495316122,0.9946784174399974,0.9020750417628942,1000,1000,1,-,-,-,-
long_singleElementArray._serialize,bson@6.2.0,4.618927806952943,4.125762241020452,4.2817589260648745,0.05053108154609204,0.5558837076446725,1000,1000,-,-,-,1,0
long_singleElementArray._deserialize,bson@5.5.1,5.246610011805268,4.55942440997009,5.0150104621271,0.9060843289718313,0.8662652376456448,1000,1000,0,0,0,-,-
long_singleElementArray._deserialize,bson@5.5.1,5.589703643239101,4.893600105486915,5.347596807887685,0.9714869894395507,0.8979450139296594,1000,1000,0,1,1,-,-
long_singleElementArray._deserialize,bson@5.5.1,5.552473792641256,4.888565703856953,5.336179768133459,0.7881770733013562,0.8968541512422175,1000,1000,1,-,-,-,-
long_singleElementArray._serialize,bson@5.5.1,4.67944551362508,4.212421498478161,4.368725359997916,0.04138747267384559,0.5955025788162577,1000,1000,-,-,-,1,0
long_singleElementArray._deserialize,bson@4.7.2,5.763732275214072,4.929948633503689,5.4407004686005225,0.06284802554495666,0.9574844394819259,1000,1000,0,0,0,-,-
long_singleElementArray._deserialize,bson@4.7.2,5.800498206491206,5.026646054994445,5.563290778260437,0.05239867894689912,1.0281578293163034,1000,1000,0,1,1,-,-
long_singleElementArray._deserialize,bson@4.7.2,6.000595867199585,5.162324148036375,5.690688373260244,0.05348451325758557,1.0530401844619741,1000,1000,1,-,-,-,-
long_singleElementArray._serialize,bson@4.7.2,5.4214927736442,4.776355133152811,4.98380025844015,0.1899750149327249,0.7170358968327637,1000,1000,-,-,-,1,0
long_singleElementArray._deserialize,bson-ext@4.0.2,5.158609281195471,4.667509135175473,5.011265569461453,0.9749433997350131,0.7704951709664837,1000,1000,-,1,1,-,-
long_singleElementArray._deserialize,bson-ext@4.0.2,4.367758613956758,3.9785598645650673,4.2476518988140075,0.965764695385377,0.5963220623853669,1000,1000,-,0,0,-,-
long_singleElementArray._serialize,bson-ext@4.0.2,3.637021396518459,3.212195235175329,3.4188108592766935,0.04842251760947022,0.47548036875035626,1000,1000,-,-,-,1,0
long_array_10._deserialize,bson@6.2.0,28.63065008121389,14.655419216475218,13.389283969932068,0.33524381229355854,6.065478098303273,1000,1000,0,0,0,-,-
long_array_10._deserialize,bson@6.2.0,30.683830287004902,14.506823510227088,14.368538397193593,0.3935439780102883,4.511102158762579,1000,1000,0,1,1,-,-
long_array_10._deserialize,bson@6.2.0,30.706835463135494,15.800618619470907,14.051127897238226,0.35297521420135025,6.228845565394617,1000,1000,1,-,-,-,-
long_array_10._serialize,bson@6.2.0,18.016093773652035,11.30707628778588,11.836004894569395,0.16799136849596333,1.658463333310829,1000,1000,-,-,-,1,0
long_array_10._deserialize,bson@5.5.1,30.55959198542805,14.716387264135664,13.57095520395285,0.3212161449004236,6.318788024315925,1000,1000,0,0,0,-,-
long_array_10._deserialize,bson@5.5.1,30.695328564658166,14.32226180022246,14.258707386158905,0.31369999119167613,4.499228400256619,1000,1000,0,1,1,-,-
long_array_10._deserialize,bson@5.5.1,30.3028948708463,15.655460236668588,14.027383977746029,0.3604730743224703,6.0901200908175825,1000,1000,1,-,-,-,-
long_array_10._serialize,bson@5.5.1,12.401005681716983,11.30800430733389,11.927015935418941,0.18732001963989048,1.547955245186827,1000,1000,-,-,-,1,0
long_array_10._deserialize,bson@4.7.2,29.474519319709174,19.029186299715832,13.682834691782,0.2200709987951091,8.20233068648352,1000,1000,0,0,0,-,-
long_array_10._deserialize,bson@4.7.2,30.70649690180599,18.13940604583296,14.142099801453302,0.21794101262805518,8.024632424727628,1000,1000,0,1,1,-,-
long_array_10._deserialize,bson@4.7.2,30.70649690180599,18.271385926393037,14.218378991458396,0.2374189322695442,7.86584235986077,1000,1000,1,-,-,-,-
long_array_10._serialize,bson@4.7.2,13.311941265319389,12.576387155949357,12.984976948899664,0.35049791225400806,1.3369640029521774,1000,1000,-,-,-,1,0
long_array_10._deserialize,bson-ext@4.0.2,14.81613142382908,13.726510592773872,14.449872525540014,3.5508014509106443,1.7987363862052685,1000,1000,-,1,1,-,-
long_array_10._deserialize,bson-ext@4.0.2,11.26798559649137,10.354703465150434,11.003582980707305,1.395052107992871,1.3264018203653658,1000,1000,-,0,0,-,-
long_array_10._serialize,bson-ext@4.0.2,11.323328167055628,10.27970436114006,10.87241451402815,3.039848342556512,1.3205847977980776,1000,1000,-,-,-,1,0
long_array_1000._deserialize,bson@6.2.0,77.19117806095397,72.04235495587736,74.21887020726237,25.64545713222195,7.8314953788078006,1000,1000,0,0,0,-,-
