test_name,library,max,mean,median,min,stddev,warmup,iterations,checkKeys,ignoreUndefined,index
maxkey_singleFieldDocument._serialize,bson@6.2.0,2.1786470149011463,2.0194556447432097,2.0920526217345223,0.020033757049044205,0.2627205440179625,1000,1000,1,0,-
maxkey_singleElementArray._serialize,bson@6.2.0,3.4393636736367363,2.9984007708091633,3.047026941740685,0.034256254880855604,0.43031172095200276,1000,1000,1,0,-
maxkey_array_100._serialize,bson@6.2.0,14.53719011477151,14.034781865513736,14.35184348270925,0.8004322085616847,1.0596884542804141,1000,1000,1,0,-
maxkey_array_1000._serialize,bson@6.2.0,19.16342156809186,18.77163923959946,18.940997066030462,11.975419579176531,0.4428195929693245,1000,1000,1,0,-
maxkey_array_10._serialize,bson@6.2.0,9.436066210180044,7.105601432910403,8.536811009738837,0.09363377516961559,2.3402119580542795,1000,1000,1,0,-
maxkey_singleFieldDocument._deserialize,bson@6.2.0,3.45570174693289,3.136682686994241,3.2773600957194837,0.01911959049024303,0.47134060637658537,1000,1000,-,-,0
maxkey_singleElementArray._deserialize,bson@6.2.0,4.294177167401198,3.747999857309352,4.131699141960375,0.18363997363431533,0.7159587254711879,1000,1000,-,-,0
maxkey_array_100._deserialize,bson@6.2.0,36.00788221792028,33.85643389838958,34.47538684111002,2.027958910036483,3.1448431158086243,1000,1000,-,-,0
maxkey_array_1000._deserialize,bson@6.2.0,44.318910536980695,41.543213064580755,42.70348074361051,15.6480390746851,4.294728944612601,1000,1000,-,-,0
maxkey_array_10._deserialize,bson@6.2.0,16.044754309098593,8.881982152364822,6.733482715288076,0.17514775412219308,4.26013789193359,1000,1000,-,-,0
maxkey_singleFieldDocument._serialize,bson@5.5.1,2.2002365187741284,2.024999564056687,2.0958911904557413,0.0177763160683029,0.2628756709430311,1000,1000,1,0,-
maxkey_singleElementArray._serialize,bson@5.5.1,3.4911621277149174,3.0127403609378636,3.0441330328404006,0.15274900859981688,0.4216711469455901,1000,1000,1,0,-
maxkey_array_100._serialize,bson@5.5.1,14.526711222978149,13.995083618439834,14.309039803595596,0.7607404911067905,1.0488534597341825,1000,1000,1,0,-
maxkey_array_1000._serialize,bson@5.5.1,19.43444763400851,19.035128429156135,19.186783281773554,14.970626556541815,0.3859144366472177,1000,1000,1,0,-
maxkey_array_10._serialize,bson@5.5.1,9.475540658041636,7.259412011565279,8.662379481760764,0.08916019587501708,2.358745528351627,1000,1000,1,0,-
maxkey_singleFieldDocument._deserialize,bson@5.5.1,3.389850179320099,3.100737196184036,3.227124655870932,0.02117068487189208,0.4511388026004275,1000,1000,-,-,0
maxkey_singleElementArray._deserialize,bson@5.5.1,4.347836993845157,3.7674798381431573,4.1558461890400356,0.18574412282956662,0.7320837896461746,1000,1000,-,-,0
maxkey_array_100._deserialize,bson@5.5.1,36.40798703333746,34.25852717163901,34.928067074603966,1.896327984323895,3.1689800538297064,1000,1000,-,-,0
maxkey_array_1000._deserialize,bson@5.5.1,44.37425693675731,41.62032898948993,42.73139307333217,14.35548166985566,4.219700929006781,1000,1000,-,-,0
maxkey_array_10._deserialize,bson@5.5.1,15.997079362263564,8.888082440668926,6.68845673810153,0.20779068974689507,4.28380544595895,1000,1000,-,-,0
maxkey_singleFieldDocument._serialize,bson@4.7.2,2.582301985531784,2.381489665433189,2.4929924588580556,0.06586747614398338,0.3395279563189713,1000,1000,1,0,-
maxkey_singleElementArray._serialize,bson@4.7.2,3.689200563477066,3.222231002524934,3.3444899952655054,0.13951743737617125,0.4701360100993993,1000,1000,1,0,-
maxkey_array_100._serialize,bson@4.7.2,14.852214246331,14.39081733744865,14.674820391721072,4.085315783336002,0.8755610574719503,1000,1000,1,0,-
maxkey_array_1000._serialize,bson@4.7.2,19.20688947760445,18.79509962453065,18.95791460611326,12.82701976119158,0.4324360669027809,1000,1000,1,0,-
maxkey_array_10._serialize,bson@4.7.2,4.117977761033861,3.907384396329773,4.0216983197868235,0.9298702265576564,0.3560896882400162,1000,1000,1,0,-
maxkey_singleFieldDocument._deserialize,bson@4.7.2,3.626477026789695,3.319762950338994,3.507218061616452,0.10253255417866192,0.5368958644102164,1000,1000,-,-,0
maxkey_singleElementArray._deserialize,bson@4.7.2,4.348999262841543,3.8104094817568526,4.187368670639254,0.04721505039505722,0.7209503104403554,1000,1000,-,-,0
maxkey_array_100._deserialize,bson@4.7.2,33.586101276638026,31.626720170014355,32.227160986884684,1.65128747863299,2.8173496596956236,1000,1000,-,-,0
maxkey_array_1000._deserialize,bson@4.7.2,40.597497507897785,37.93565022453946,38.895719735498275,14.220084823655434,3.752587816341549,1000,1000,-,-,0
maxkey_array_10._deserialize,bson@4.7.2,14.070727857853369,10.295812607081297,13.401888452860891,0.09500180483867432,4.04678861318436,1000,1000,-,-,0
maxkey_singleFieldDocument._serialize,bson-ext@4.0.2,1.1304211399574675,1.0342700870724801,1.0920045073814475,0.01912402421761975,0.13434540147143162,1000,1000,1,0,-
maxkey_singleElementArray._serialize,bson-ext@4.0.2,2.202944991095829,2.006793317892785,2.121595943428549,0.1485139397386356,0.2615045946450479,1000,1000,1,0,-
maxkey_array_100._serialize,bson-ext@4.0.2,2.440944759927052,2.330939111822145,2.3592153456255143,0.8841422668619101,0.10730367042559939,1000,1000,1,0,-
maxkey_array_1000._serialize,bson-ext@4.0.2,2.9977078265927775,2.9254197165691056,2.9382030287312157,2.425726642852922,0.07206854630079058,1000,1000,1,0,-
maxkey_array_10._serialize,bson-ext@4.0.2,1.9502035923935006,1.849198038080696,1.9041706721623437,0.10030394661432952,0.1431510872624826,1000,1000,1,0,-
maxkey_singleFieldDocument._deserialize,bson-ext@4.0.2,3.109230972375051,2.9421513430904973,3.03145630717109,0.09209907233762821,0.35731921509278614,1000,1000,-,-,0
maxkey_singleElementArray._deserialize,bson-ext@4.0.2,5.292758042095924,4.887070129795172,5.177978289819355,0.18567082779991148,0.7725246592269458,1000,1000,-,-,0
maxkey_array_100._deserialize,bson-ext@4.0.2,12.46790102712571,12.090177326199628,12.272550469230612,1.6641132417029918,0.7688158853710705,1000,1000,-,-,0
