test_name,library,max,mean,median,min,stddev,warmup,iterations,checkKeys,ignoreUndefined,promoteValues,index
tweet._serialize,bson@6.2.0,49.307573814265766,46.31515473239922,48.143884347093014,4.198880670227592,4.3440757118028035,1000,1000,1,0,-,-
bestbuy_medium._serialize,bson@6.2.0,46.865207387364336,45.09247423850507,46.14834669889814,22.899963736427786,2.481359658108862,1000,1000,1,0,-,-
deep_bson._serialize,bson@6.2.0,30.25220251655277,29.248360044986384,29.796913851939614,6.118187740626286,2.171734280632618,1000,1000,1,0,-,-
flat_bson._serialize,bson@6.2.0,91.34864975079171,87.62062245001543,89.91133669069532,17.457792716454325,5.6878068645121225,1000,1000,1,0,-,-
full_bson._serialize,bson@6.2.0,47.76687261975783,45.97005677340437,46.99439641196427,3.473729931986818,3.3334701419959925,1000,1000,1,0,-,-
mixed_large._serialize,bson@6.2.0,80.65757153641404,73.85990538007914,74.79249107022676,50.91487157488686,4.80372779205755,1000,1000,1,0,-,-
mixed_medium._serialize,bson@6.2.0,91.50223723197244,83.22703150428188,87.84923539276545,4.583063497726179,10.096186898352864,1000,1000,1,0,-,-
mixed_small._serialize,bson@6.2.0,85.1174492644828,66.2649441770939,69.892725085454,3.3345392162400906,14.59741369984267,1000,1000,1,0,-,-
nested_4._serialize,bson@6.2.0,21.86210455190576,20.295588355693365,21.220569566503627,1.0894946674002195,2.151740710267505,1000,1000,1,0,-,-
nested_8._serialize,bson@6.2.0,24.361430527091855,23.643661750895216,24.058342202847886,10.767835887639277,1.5113082506956894,1000,1000,1,0,-,-
nested_16._serialize,bson@6.2.0,23.83699810047525,23.670913227498783,23.65449018420419,23.57501724930291,0.05652491172457073,1000,1000,1,0,-,-
tweet._deserialize,bson@6.2.0,32.38908090802195,31.484016497281537,31.995482923278203,5.2072702727084925,2.219962779352877,1000,1000,-,-,1,0
bestbuy_medium._deserialize,bson@6.2.0,27.582655847989535,26.62877041559372,27.20573160462955,8.170301374844579,2.1775728107809114,1000,1000,-,-,1,0
deep_bson._deserialize,bson@6.2.0,23.014880861871667,22.25328084083165,22.759637708925244,6.17096004040384,1.884621792877608,1000,1000,-,-,1,0
flat_bson._deserialize,bson@6.2.0,55.59847213815448,53.99599543372745,55.07704412746987,16.709228013933714,4.14023085292273,1000,1000,-,-,1,0
full_bson._deserialize,bson@6.2.0,41.90580112356581,40.332752420041665,41.35558804242928,11.50271347321692,3.679115425751637,1000,1000,-,-,1,0
mixed_large._deserialize,bson@6.2.0,82.31797194992475,76.28529737165205,78.36625187069973,36.588384194711516,5.652537437546752,1000,1000,-,-,1,0
mixed_medium._deserialize,bson@6.2.0,34.078432799940565,32.438059269308084,33.208430343152784,5.385517008071913,2.9150266162995435,1000,1000,-,-,1,0
mixed_small._deserialize,bson@6.2.0,33.099326464359955,31.1178298041642,32.08832021056366,2.8730441999338874,2.556226228604555,1000,1000,-,-,1,0
nested_4._deserialize,bson@6.2.0,16.801772436638164,16.18342384600022,16.48794197606002,1.241244004748939,1.3458241322806659,1000,1000,-,-,1,0
nested_8._deserialize,bson@6.2.0,17.68193562485646,16.945109871428095,17.397922611493964,9.537737034367105,1.4893153296816943,1000,1000,-,-,1,0
nested_16._deserialize,bson@6.2.0,17.018774149259887,16.525873755109178,16.40431789295395,14.815019460443414,0.36748943847732113,1000,1000,-,-,1,0
tweet._serialize,bson@5.5.1,49.3902966888436,46.472296274909894,48.46010975048672,4.470229733231581,4.418827542906986,1000,1000,1,0,-,-
bestbuy_medium._serialize,bson@5.5.1,46.18212919705729,44.40672175821897,45.46582032283496,7.753504743781432,2.713261230767608,1000,1000,1,0,-,-
deep_bson._serialize,bson@5.5.1,30.377943628037887,29.364285572644373,29.91115180618022,5.8444240736215844,2.13718417900812,1000,1000,1,0,-,-
flat_bson._serialize,bson@5.5.1,91.26038228486883,88.13472550897713,90.08553209009705,17.7862238297938,4.899763684143863,1000,1000,1,0,-,-
full_bson._serialize,bson@5.5.1,45.52152677942558,43.692855984136685,44.69099808601048,3.2525329285574567,3.0819964779220466,1000,1000,1,0,-,-
mixed_large._serialize,bson@5.5.1,80.98317913751754,74.89197335169224,75.11600746747938,52.466772538239454,2.9188400468043203,1000,1000,1,0,-,-
mixed_medium._serialize,bson@5.5.1,89.30839519691366,80.12884207874536,84.31779911986075,4.401103690497343,10.131152219123127,1000,1000,1,0,-,-
mixed_small._serialize,bson@5.5.1,74.54048612876365,60.31773562569339,65.17975239490946,2.889061410848205,11.723686493219983,1000,1000,1,0,-,-
nested_4._serialize,bson@5.5.1,22.003360271104984,20.268370180118342,21.22608504696371,2.7080765531012356,2.1702717543011745,1000,1000,1,0,-,-
nested_8._serialize,bson@5.5.1,24.538572562848817,23.794169968137638,24.246850966921873,10.807001233796289,1.5663179978849031,1000,1000,1,0,-,-
nested_16._serialize,bson@5.5.1,24.14818124766145,23.98558390056067,23.96950706572698,23.83154351775688,0.05648543553179529,1000,1000,1,0,-,-
tweet._deserialize,bson@5.5.1,32.36033357732376,31.510171907507665,32.01087433387917,5.278418174289463,2.15691794889206,1000,1000,-,-,1,0
bestbuy_medium._deserialize,bson@5.5.1,27.535568061052796,26.591581515182973,27.16551291028489,7.777762555467803,2.112414670419999,1000,1000,-,-,1,0
deep_bson._deserialize,bson@5.5.1,23.583040331180637,22.794242609108636,23.287491208575787,7.097164944393108,1.8330663717865912,1000,1000,-,-,1,0
flat_bson._deserialize,bson@5.5.1,56.10825036542116,54.37532946619555,55.46458529706153,17.142629608341757,4.173739275321873,1000,1000,-,-,1,0
full_bson._deserialize,bson@5.5.1,41.893111985249156,40.3656372409927,41.34451737085457,12.54388454248685,3.5785088310585977,1000,1000,-,-,1,0
mixed_large._deserialize,bson@5.5.1,86.53858468028238,80.74370367260683,83.00144304857005,38.795902891410435,6.095527602192095,1000,1000,-,-,1,0
